id,submission,sourceCode,author,memory,time,sent,countline,problems_id,verdicts_id,languages_id,isduplicated
46,23674638,"n = int(input())
l = list(map(int, input().split()))
m = 0
for i in range(n-1, -1, -1):
    if l[i] >= m:
        m = l[i]
    l[i] = m - l[i] + (m - l[i] != 0)
print("" "".join(map(str, l)))",34,12700,218,2017-01-10 07:53:31,15,1,2,8,0
47,23674879,"n = int(input())
l = list(map(int, input().split()))
m = l[-1]
l[-1] = 0
for i in range(n-2, -1, -1):
    if l[i] == m:
        l[i] = 1
    elif l[i] > m:
        m = l[i]
        l[i] = 0
    else:
        l[i] = m - l[i] + 1
print("" "".join(map(str, l)))",34,14492,171,2017-01-10 08:20:36,25,1,1,8,0
104,23721209,"input()
intarray = list(map(int, input().split()))
for i in range(0,len(intarray)):
    a = 0;
    for j in range(i+1, len(intarray)):
        if intarray[i] + a <= intarray[j]: a = intarray[j] - intarray[i] + 1
    print(a, end=' ')",56,11624,1000,2017-01-11 18:37:56,13,1,3,8,0
105,23721393,"n = int(input())
intarray = list(map(int, input().split()))
mx=[0]*n
mx[n-1]=intarray[n-1]
for i in range(n-2,-1,-1):
    mx[i] = max(intarray[i],mx[i+1]);
for i in range(0,len(intarray)):
    if mx[i]==intarray[i]: print(0,end="" "")
    else:
        print(mx[i]-intarray[i]+1 , end=' ')",56,12696,483,2017-01-11 18:51:30,19,1,2,8,0
125,23739126,"x=int(input())
y=int(input())
if x-y>1 :
    print(min(x,y),int((x-y)/2))
elif y-x>1:
    print(min(x,y),int((y-x)/2))
else:
    print(min(x,y),0)",64,4476,46,2017-01-12 18:02:50,15,2,5,8,0
126,23739146,"x,y=map(int,input().split())
if x-y>1 :
    print(min(x,y),int((x-y)/2))
elif y-x>1:
    print(min(x,y),int((y-x)/2))
else:
    print(min(x,y),0)",64,4536,62,2017-01-12 18:04:13,13,2,1,8,0
170,23812633,"a=int(input())
x=list(map(int,input().split()))[::-1]
y=[x[0]]
mx=x[0]
for i in range(1,a):
    if mx>x[i]:
        y.append(mx+1)
    else:
        y.append(x[i])
        mx=x[i]

for i in range(a-1,-1,-1):
    print(y[i]-x[i],end=' ')",88,12588,421,2017-01-14 21:44:43,25,1,2,8,0
171,23812678,"a=int(input())
x=list(map(int,input().split()))
y=[0]
mx=x[-1]
for i in range(a-2,-1,-1):
	y.append(max(0,mx-x[i]+1))
	mx=max(mx,x[i])
print(' '.join(map(str,y[::-1])))",88,15892,218,2017-01-14 21:48:23,15,1,1,8,0
285,23926102,"from collections import Counter
n=int(input())
a=[int(x) for x in input().split()]
ra=a[::-1]
mx=[ra[0]]
c=Counter(a)
for i in range(1,n):
  mx.append(max(mx[i-1], ra[i]))
for i in range(n):
  if mx[n-1-i]==a[i]:
    if c[a[i]]>1:
      print(1, end="" "")
    else:
      print(0, end="" "")
  else:
    print(mx[n-1-i]+1-a[i], end="" "")
    
  if c[a[i]]>1:
    c[a[i]]-=1",134,13956,951,2017-01-18 18:50:30,19,1,1,8,0
286,23926875,"from collections import Counter
n=int(input())
a=[int(x) for x in input().split()]
mx=-1
ans=[0]*n
for i in reversed(range(n)):
  ans[i]=max(0,mx+1-a[i])
  mx=max(mx,a[i]);
print(*ans)",134,13292,545,2017-01-18 19:33:05,9,1,1,8,0
